prompt,completion
"What to do if I can not find my answer anywhere, including FAQ?",Email Student Payroll at studentpayroll@minerva.edu.
"I cannot access/have issues logging into Paycom for WS Fall 2022, what should I do?","Wait until Friday, September 23rd, 2022. If you still cannot access Paycom, email studentpayroll@minerva.edu. We’re working on enabling Paycom access to all students until then."
My Paycom account says that “Your account is not active”. How can I log in?,"We will activate your account in Paycom before the deadline to submit your hours, and email your login credentials. Please check your email for your login information from Paycom. In case your account has not been activated on time, and you didn’t receive your login information, email Student Payroll."
I’ve been onboarded into Paycom but still can’t login.,Please make sure to login using the employee login page for Paycom. The link to the onboarding email will expire once we activate your account.
I have already been onboarded and used Paycom before. Do I need to do the I-9 checklist again?,"No, you do not. Just make sure you review how to submit hours."
"I cannot enter hours in Paycom, what should I do?",Email Student Payroll.
"I am missing my payments from my summer internship, what should I do?","Do not enter hours for your summer internship; otherwise those hours will count towards your WS hours limit. Instead, email student payroll explaining the issue."
How can I change my Paycom login credentials?,"Go to “Information”, then click “Change Password or Username”."
I have not been onboarded in Paycom yet since I am waiting to get the SSN. What should I do?,"You can enter all your worked hours once you get into Paycom. Please enter hours from previous work periods in the current, most up-to-date, pay period timecard and indicate time period work and work details for manager approval. Hours entered in old pay periods will be not captured and paid. Please view the WS calendar if you’re not sure which pay period is in the current time period."
"I have applied for an SSN, but I am not sure when to submit the Form for Paycom initial Information?","You can submit it anytime before you get an SSN, and you should receive an invite from Paycom until when you get the SSN. If you do not receive an invite from Paycom until then, email Student Payroll."
"I have submitted the Google Form, but have not received an invite from Paycom yet?","You will receive an invite from Pacyom in the following days. If you got your SSN, but did not receive it until then, email the student payroll."
"Should I fill out the WS Google Form to submit my hours for Work Study, if I have applied/ can apply for an SSN?","No, you do not need to submit hours in the WS Google Form. WS Google Form is only for students who do not have an SSN, and cannot apply for an SSN."
What should I upload for the I-9 Document Requirement?,"Please refer to this resource for further information. List A documents are prefered. For US citizens, they only need to upload their passport, whereas for international students multiple documents are necessary. For all international students, you should merge the following documents in a single PDF format. You can use the tool here to do that. The documents that you need to merge and upload in PAYCOM are: 1) the bio page of your foreign passport, 2) your most recent I-94, and 3) your most recent I-20. Again, you should upload ALL three documents as a single PDF by following the instructions below.

1) go to “DOCUMENTS”, 2) click “ADD DOCUMENT”, and 3) select “Upload I9 Documents” from the drop-down, 4) click “NEXT”, and 5) upload the merged file with the documents mentioned above in a).

"
What countries are part of Paycom’s Denylist and need a VPN to work?,"You will need a VPN if you are working remotely or logging into Paycom from one of the countries below. In case you need a VPN, contact studentypayroll@minerva.edu for support.

Russia
China
Taiwan
Nigeria
Iran
Syria
Turkey
Brazil
Hungary
Romania"
Where can I find a resource to obtain my Public IP address?,Please refer to the linked resource.
"I am currently living outside of the United States and cannot fill my Paycom Onboarding Checklist with a non-US address, what should I do?","For students living outside of the United States, please use The Turk Residence address: 16 Turk Street, San Francisco, CA 94102."
